date_found,title,company,location,source,url,score,matched_keywords,warning_keywords,short_reason,hard_filter_status,hard_filter_reason,hard_filter_category,minimum_score_to_export
2026-06-16,Werkstudent (m/w/d) Sales & Marketing,eFLY Marketplace Services GmbH,Stuttgart,Arbeitnow Marketing Germany,https://www.arbeitnow.com/jobs/companies/efly-marketplace-services-gmbh/werkstudent-sales-marketing-stuttgart-420189,41,"germany, marketing, sales, werkstudent",,target location; junior/internship fit,exclude,missing early-career keyword,career_level,37
2026-06-16,Marketing Manager E-Commerce (m/w/d),KSi International GmbH,Dresden,Arbeitnow Marketing Germany,https://www.arbeitnow.com/jobs/companies/ksi-international-gmbh/marketing-manager-e-commerce-dresden-419093,41,"germany, intern, international, marketing",manager,strong keyword match; target location; junior/internship fit; seniority warning,exclude,matched exclusion keyword: manager,warning_keywords,37
2026-06-16,"Business Development Manager Infrastruktur, 100%",Saint Gobain Schweiz,Switzerland,jobs.ch Business Development Switzerland,https://www.jobs.ch/en/vacancies/detail/4a51eb62-3d06-437a-8a70-194c724c4f6d,38,"business development, switzerland",manager,role fit; strong keyword match; target location; seniority warning,exclude,matched exclusion keyword: manager,warning_keywords,37
2026-06-16,Vice President Business Development - Middle East,SR Technics Switzerland AG,"Zürich, Switzerland",jobs.ch Business Development Switzerland,https://www.jobs.ch/en/vacancies/detail/1481305f-58fa-45bf-ac32-acbb580d0fed,38,"business development, switzerland",vice president,role fit; strong keyword match; target location; seniority warning,exclude,"matched exclusion keyword: vice president, vice president","warning_keywords, negative_keywords.seniority",37
2026-06-16,Cybersecurity Business Development Manager D-CH,ELCA Security SA,Switzerland,jobs.ch Business Development Switzerland,https://www.jobs.ch/en/vacancies/detail/7611996a-66a2-4e5d-8493-12b5234e8d58,38,"business development, switzerland",manager,role fit; strong keyword match; target location; seniority warning,exclude,matched exclusion keyword: manager,warning_keywords,37
2026-06-16,Project Manager - Environmental Remediation / Contaminated Sites,ERM Swiss GmbH,"Lausanne, Switzerland",jobs.ch Business Development Switzerland,https://www.jobs.ch/en/vacancies/detail/ff31274f-59e3-4c1f-b0dd-b69184e4f1d8,38,"business development, lausanne, switzerland",manager,role fit; strong keyword match; target location; seniority warning,exclude,matched exclusion keyword: manager,warning_keywords,37
2026-06-16,Account Manager - Switzerland,Agilent Technologies (Schweiz) AG,Switzerland-Basel,jobs.ch Business Development Switzerland,https://www.jobs.ch/en/vacancies/detail/4056f76a-0938-4010-b43b-7f131f2ece00,38,"basel, business development, switzerland",manager,role fit; strong keyword match; target location; seniority warning,exclude,matched exclusion keyword: manager,warning_keywords,37
2026-06-16,Werkstudent (m/w/d) Recruiting & Marketing,Burner Marketing GmbH,Erlangen,Arbeitnow Marketing Germany,https://www.arbeitnow.com/jobs/companies/burner-marketing-gmbh/werkstudent-recruiting-marketing-erlangen-142686,37,"germany, marketing, werkstudent",,target location; junior/internship fit,exclude,missing early-career keyword,career_level,37
2026-06-16,Praktikum Online-Marketing (All Gender),CONTXT Online-Marketing GmbH,Ober-Ramstadt,Arbeitnow Marketing Germany,https://www.arbeitnow.com/jobs/companies/contxt-online-marketing-gmbh/praktikum-online-marketing-all-gender-ober-ramstadt-369542,37,"germany, marketing, praktikum",,target location; junior/internship fit,exclude,missing early-career keyword,career_level,37
2026-06-16,Pflichtpraktikum / Praxissemester - nachhaltiges Marketing,Refarm GmbH,Karlsruhe,Arbeitnow Marketing Germany,https://www.arbeitnow.com/jobs/companies/refarm-gmbh/pflichtpraktikum-praxissemester-nachhaltiges-marketing-karlsruhe-225664,37,"germany, marketing, praktikum",,target location; junior/internship fit,exclude,missing early-career keyword,career_level,37
2026-06-16,WerkstudentIn Marketing,amc Group,Bonn,Arbeitnow Marketing Germany,https://www.arbeitnow.com/jobs/companies/amc-group/werkstudentin-marketing-bonn-489915,37,"germany, marketing, werkstudent",,target location; junior/internship fit,exclude,missing early-career keyword,career_level,37
2026-06-16,Werkstudent (m/w/d) Social Media Marketing,spized GmbH,Cologne,Arbeitnow Marketing Germany,https://www.arbeitnow.com/jobs/companies/spized-gmbh/werkstudent-social-media-marketing-cologne-40924,37,"germany, marketing, werkstudent",,target location; junior/internship fit,exclude,missing early-career keyword,career_level,37
2026-06-16,Praktikum Online-Marketing / Marketing / KI / AI,SEOMATIK GmbH,Bielefeld,Arbeitnow Marketing Germany,https://www.arbeitnow.com/jobs/companies/seomatik-gmbh/praktikum-online-marketing-marketing-ki-ai-bielefeld-477843,37,"germany, marketing, praktikum",,target location; junior/internship fit,exclude,missing early-career keyword,career_level,37
