date_found,title,company,location,source,url
2026-06-16,"Lead Health Systems Integrations Manager, International",Exact Sciences International Sàrl,Switzerland - Zug,jobup.ch Marketing Switzerland,https://www.jobup.ch/en/jobs/detail/ee1716cf-4f51-484a-9948-f5498c9bd8c3
2026-06-16,Category Manager Apple/Mobile (m/w/d),TD SYNNEX Switzerland GmbH,"Rotkreuz, Switzerland",jobup.ch Marketing Switzerland,https://www.jobup.ch/en/jobs/detail/83432ecd-3dd3-4a98-9663-6f678ad52a5e
2026-06-16,Global Medical Director Cardiometabolic,Abbott AG,Switzerland &gt; Allschwil : H-127,jobup.ch Marketing Switzerland,https://www.jobup.ch/en/jobs/detail/9e624f50-f1d8-4017-b805-17a8f78d7acd
2026-06-16,Finance and Administration Manager,Fairmont Grand Hôtel Geneva,"Hotel Rotary Geneva - MGallery, Geneva, Switzerland",jobup.ch Marketing Switzerland,https://www.jobup.ch/en/jobs/detail/0996602f-337e-48a0-a447-50bc3dbec7b2
2026-06-16,Data360 & Agentforce Architects,salesforce.com Sàrl,Switzerland - Zurich,jobup.ch Marketing Switzerland,https://www.jobup.ch/en/jobs/detail/4f41c31f-ee22-425d-8ea5-9469a703e656
2026-06-16,R&D Team Manager – Next Generation Grids Transformers 80 - 100% (f/m/d),Hitachi Energy AG,"Satigny, Geneva, Switzerland",jobup.ch Marketing Switzerland,https://www.jobup.ch/en/jobs/detail/5d31e1bb-71de-4d16-951e-a91f8a523888
2026-06-16,Project Management Portfolio Manager 80 – 100% (f/m/d),Hitachi Energy AG,"Turgi, Aargau, Switzerland",jobup.ch Marketing Switzerland,https://www.jobup.ch/en/jobs/detail/8346982e-831d-451c-980b-0c74cdfa2987
2026-06-16,Audience and partnerships editor,,Amsterdam,IamExpat Jobs Netherlands,https://www.iamexpat.nl/career/jobs-netherlands/editing-translation-positions/audience-and-partnerships-editor/tp8Ey5roXuZNKu4CCTC2NG
2026-06-16,Showroom Project Coordinator - Temporary,,Amsterdam,IamExpat Jobs Netherlands,https://www.iamexpat.nl/career/jobs-netherlands/other-positions/showroom-project-coordinator-temporary/hiCcXFjMxSDZvnzixA7Ffc
2026-06-16,Order Management Representative | German,,Hoofddorp,IamExpat Jobs Netherlands,https://www.iamexpat.nl/career/jobs-netherlands/other-positions/order-management-representative-german/iw4tdsAh5BsSj22cxaWEfw
2026-06-16,Frontend Engineer,,Rotterdam Temporary,IamExpat Jobs Netherlands,https://www.iamexpat.nl/career/jobs-netherlands/it-technology-positions/frontend-engineer/bezH5KxV68Fn18wQwbzvd6
2026-06-16,Fashion Product Development Professional (Talent pool),,Amsterdam Temporary,IamExpat Jobs Netherlands,https://www.iamexpat.nl/career/jobs-netherlands/other-positions/fashion-product-development-professional-talent-pool/vknDax8tPs5LSWLZeJixHc
2026-06-16,Chargebacks Expert,,Amsterdam Temporary,IamExpat Jobs Netherlands,https://www.iamexpat.nl/career/jobs-netherlands/customer-service-positions/chargebacks-expert/ugZZcW3RjwET18M5QbVtSm
2026-06-16,Executive Chef - Luxury Hotel Horeca / Tourism Amsterdam Permanent,,,IamExpat Jobs Netherlands,https://www.iamexpat.nl/career/jobs-netherlands/horeca-tourism-positions/executive-chef-luxury-hotel/3twS6TdoCoQgzbTAG9ipPd
2026-06-16,Head of Product Management & Procurement Management / Consulting Ter Apel,,,IamExpat Jobs Netherlands,https://www.iamexpat.nl/career/jobs-netherlands/management-consulting-positions/head-product-management-procurement/n9kemJRtJq6Mdf951Kmxqq
2026-06-16,Electronic Technician Trainee - Dutch & English,,Coevorden,IamExpat Jobs Netherlands,https://www.iamexpat.nl/career/jobs-netherlands/engineering-positions/electronic-technician-trainee-dutch-english/v4unbhtxhwWWLmKf32iAJX
2026-06-16,Functional Application Specialist - Oracle Financials & APRO,,Amsterdam Permanent,IamExpat Jobs Netherlands,https://www.iamexpat.nl/career/jobs-netherlands/it-technology-positions/functional-application-specialist-oracle-financials-apro/mQk5PFMmevMvSwJ33Ke6Nx
2026-06-16,Stress Testing Analyst Intern Management / Consulting Amsterdam,,,IamExpat Jobs Netherlands,https://www.iamexpat.nl/career/jobs-netherlands/management-consulting-positions/stress-testing-analyst-intern/gN2TvH19Jk6JMUAfKMnMS7
2026-06-16,Field Service Technician | Dutch & English | Heerenveen,,Heerenveen,IamExpat Jobs Netherlands,https://www.iamexpat.nl/career/jobs-netherlands/engineering-positions/field-service-technician-dutch-english-heerenveen/qJufjri4R8sMwa7F9Eh5XQ
2026-06-16,Customer Support Specialist | German | Amsterdam,,Amsterdam,IamExpat Jobs Netherlands,https://www.iamexpat.nl/career/jobs-netherlands/customer-service-positions/customer-support-specialist-german-amsterdam/8ZEMnoCk3WGXj8VNkjm5Y1
2026-06-16,Customer Support Specialist | Dutch | Amsterdam,,Amsterdam,IamExpat Jobs Netherlands,https://www.iamexpat.nl/career/jobs-netherlands/customer-service-positions/customer-support-specialist-dutch-amsterdam/ho1zH4q1qi7kJyB2rQtXsG
2026-06-16,Export Logistics | French,,Ede,IamExpat Jobs Netherlands,https://www.iamexpat.nl/career/jobs-netherlands/supply-chain-logistics-positions/export-logistics-french/6LgU9dniovjP1YdQjddith
2026-06-16,Assembly worker,,Goirle,IamExpat Jobs Netherlands,https://www.iamexpat.nl/career/jobs-netherlands/engineering-positions/assembly-worker/r4ESBpZHBC1b5JdZND7Lwm
2026-06-16,People Project HR / Recruitment The Hague,,,IamExpat Jobs Netherlands,https://www.iamexpat.nl/career/jobs-netherlands/hr-recruitment-positions/people-project/dXmfXxoi7eat4EogP7bQmn
2026-06-16,Executive Sous Chef - Luxury Hotel Horeca / Tourism Amsterdam Permanent,,,IamExpat Jobs Netherlands,https://www.iamexpat.nl/career/jobs-netherlands/horeca-tourism-positions/executive-sous-chef-luxury-hotel/g7tQY4JuruQ3hytFgn4S2q
2026-06-16,Interim Organisation Design & Transformation Consultant (ZZP) HR / Recruitment Amersfoort,,,IamExpat Jobs Netherlands,https://www.iamexpat.nl/career/jobs-netherlands/hr-recruitment-positions/interim-organisation-design-transformation-consultant-zzp/57h4GmqmaoU8YTvi2rxRGW
2026-06-16,Marketing Assistent,Henning Marketing,Rosenheim,Arbeitnow Marketing Germany,https://www.arbeitnow.com/jobs/companies/henning-marketing/marketing-assistent-rosenheim-346483
2026-06-16,Marketing Assistenz,Conception Werbung und Marketing GmbH,Siegen,Arbeitnow Marketing Germany,https://www.arbeitnow.com/jobs/companies/conception-werbung-und-marketing-gmbh/marketing-assistenz-siegen-113607
2026-06-16,Performance Marketing Manager,Lecram Marketing GmbH,Müllheim,Arbeitnow Marketing Germany,https://www.arbeitnow.com/jobs/companies/lecram-marketing-gmbh/performance-marketing-manager-mullheim-46821
2026-06-16,Werkstudent (m/w/d) Recruiting & Marketing,Burner Marketing GmbH,Erlangen,Arbeitnow Marketing Germany,https://www.arbeitnow.com/jobs/companies/burner-marketing-gmbh/werkstudent-recruiting-marketing-erlangen-142686
2026-06-16,Chief Marketing Officer - DACH,hellofresh,,Arbeitnow Marketing Germany,https://www.arbeitnow.com/jobs/companies/hellofresh/chief-marketing-officer-dach-179663
2026-06-16,Junior Performance Marketing Manager,Cyrus Digital GmbH,Munich,Arbeitnow Marketing Germany,https://www.arbeitnow.com/jobs/companies/cyrus-digital-gmbh/junior-performance-marketing-manager-munich-60213
2026-06-16,Assistenz (m/w/d) Online-Marketing,Marketing Juwel GmbH,Berlin,Arbeitnow Marketing Germany,https://www.arbeitnow.com/jobs/companies/marketing-juwel-gmbh/assistenz-online-marketing-berlin-327213
2026-06-16,Praktikum Online-Marketing (All Gender),CONTXT Online-Marketing GmbH,Ober-Ramstadt,Arbeitnow Marketing Germany,https://www.arbeitnow.com/jobs/companies/contxt-online-marketing-gmbh/praktikum-online-marketing-all-gender-ober-ramstadt-369542
2026-06-16,Pflichtpraktikum / Praxissemester - nachhaltiges Marketing,Refarm GmbH,Karlsruhe,Arbeitnow Marketing Germany,https://www.arbeitnow.com/jobs/companies/refarm-gmbh/pflichtpraktikum-praxissemester-nachhaltiges-marketing-karlsruhe-225664
2026-06-16,Senior Product Marketing Manager,nice,,Arbeitnow Marketing Germany,https://www.arbeitnow.com/jobs/companies/nice/senior-product-marketing-manager-439745
